Actual Mean Motion,Predicted Mean Motion
14.3279587,14.291412633726884
14.24705267,14.293322461909186
14.33189552,14.231592075893799
14.32097022,14.285790360829198
14.20592263,14.158599045602914
14.28859807,13.94220230756793
14.15708229,14.298446578106601
14.14742602,14.293367327831753
14.40666051,14.379901894117031
14.29399797,14.261691834457588
13.75335528,13.884643508350198
14.53990717,14.225716445992582
14.63408244,14.378967037936489
13.80443716,13.980382512121826
14.26533085,13.984473262812555
13.55398094,13.947770400302327
14.41157874,14.311412508111676
14.16859679,14.173921221739777
14.18364608,14.091287362591155
14.33272719,14.318472306081581
13.65489095,14.032854266903508
14.19294147,14.42521670563199
14.32948778,14.327958597351106
13.2734265,13.373654744918687
14.22420708,14.123903638428157
13.75833823,14.083382609354558
15.00716365,14.437638194666597
13.76556334,13.954637458745836
14.61480829,14.341213233237472
14.18271223,14.265086554400968
14.38952875,14.326087292029591
14.04317526,13.943453840599458
14.20787675,14.173825267143744
13.34123173,13.441497897050747
14.09875641,14.18625686154461
14.09569337,14.15905445330674
14.26589607,14.257780272640643
14.00543851,13.95420238188878
14.43103244,14.25942415481084
14.37340806,13.941269040256852
14.2049569,14.393549736078088
